Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Samuel-von-Pufendorf-Gymnasium;SN-4240180;Gymnasium;;;;;;Musikschule Flöha;Keine Angabe;Musikschule;Öffentliche Infrastruktur
Schule Mölkau - Grundschule der Stadt Leipzig;SN-4410502;Grundschule;;;;;;Musikhochschule Leipzig;Keine Angabe;Musikschule;Öffentliche Infrastruktur
Schule Mölkau - Grundschule der Stadt Leipzig;SN-4410502;Grundschule;;;;;;Musikhochschule Leipzig;"Projekt \Singt euch ein\"""rojekt \"Singt e""ojekt \"""rojekt \Singt euch ein\"""ro""ojek";Musikschule;Öffentliche Infrastruktur
Scultetus-Oberschule;SN-4130142;Mittelschule;;;;;;Musikschule Görlitz;Keine Angabe;Musikschule;Öffentliche Infrastruktur
"Sorbische Grundschule Dr. Maria Grollmuß " Radibor""orbische Grundschule "Dr. Ma""rbisch"""orbische Grundschule Dr. Maria Grollmuß " Radib""rbisch";SN-4111324;Grundschule;;;;;;Musikschule Bautzen;Keine Angabe;Musikschule;Öffentliche Infrastruktur
Weinholdschule, Oberschule;SN-4530150;Mittelschule;;;;;;Musikschule Reichenbach;GTA;Musikschule;Öffentliche Infrastruktur
Sportoberschule Chemnitz;SN-4230355;Mittelschule;;;;;;Bundes-und Landesleisungsstützpunkte;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Marie-Curie-Gymnasium Dresden;SN-4340246;Gymnasium;;;;;;Französisches Kulturzentrum;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Schule für geistig Behinderte Bautzen;SN-4120226;Schule für geistig Behinderte;;;;;;Regiobus Bautzen;Vermittlung von Arbeitswelterfahrungen;öffentlicher Sektor;Öffentliche Infrastruktur
"Schule zur Lernförderung Fritz Gietzelt " Leipzig""chule zur Lernförderung """chule zur Lernförderung Fritz Gietz";SN-4420337;Schule zur Lernförderung;;;;;;Allgemeiner Sozialdienst;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Schule zur Lernförderung Bischofswerda;SN-4120242;Schule zur Lernförderung;;;;;;Barockschloss Rammenau;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Schule zur Lernförderung Bischofswerda;SN-4120242;Schule zur Lernförderung;;;;;;Heimattierpark Bischofswerda;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Thomas-Mann-Gymnasium Oschatz;SN-4440483;Gymnasium;;;;;;Klärwerk Oschatz;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Turley-Oberschule Oelsnitz;SN-4231015;Mittelschule;;;;;;\Tafel\ Stollberg;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Waldblick-Oberschule Freital/ Niederhäslich;SN-4330650;Mittelschule;;;;;;Krankenhaus Freital;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Waldschule Grimma, Schule für geistig Behinderte;SN-4420220;Schule für geistig Behinderte;;;;;;Muldentalwerkstätten Grimma;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Wilhelm-Busch-Schule - Grundschule der Stadt Leipzig;SN-4412151;Grundschule;;;;;;FZ Sprachheilschule \Käthe Kollwitz\;Arbeit mit sprachauffälligen Schülern;öffentlicher Sektor;Öffentliche Infrastruktur
Zentralschule Adorf, Oberschule;SN-4530192;Mittelschule;;;;;;Botanischer Garten Adorf;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
Pestalozzi-Oberschule Meißen;SN-4331260;Mittelschule;;;;;;Meile Meißen;Aufnahme von Schulverweigerern aus der Region und deren Beschulung;öffentlicher Sektor;Öffentliche Infrastruktur
Robert-Härtwig-Schule Oschatz, Oberschule;SN-4430856;Mittelschule;;;;;;Kreischa-Alpakas Thalheim;Keine Angabe;öffentlicher Sektor;Öffentliche Infrastruktur
"14. Grundschule Dresden Im Schweizer Viertel """4. Grundschule Dresden"""4. Grundschule Dresden Im";SN-4310702;Grundschule;;;;;;Theater der jungen Generation;Keine Angabe;Oper;Öffentliche Infrastruktur
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;keine Kooperation mit Hochschulen;Keine Angabe;Oper;Öffentliche Infrastruktur
3. Schule - Grundschule der Stadt Leipzig;SN-4411864;Grundschule;;;;;;Theater der jungen Welt;4 Klassen unserer Schule lernen beim Projekt des Theater kennen;Oper;Öffentliche Infrastruktur
37. Grundschule Dresden;SN-4310736;Grundschule;;;;;;Theater Junge Generation;Keine Angabe;Oper;Öffentliche Infrastruktur
"41. Grundschule Elbtalkinder " Dresden""1. Grundschule "Elbtal"". Grun"""1. Grundschule Elbtalkinder " Dresden""1."". Grundschul";SN-4310306;Grundschule;;;;;;Theater der Jungen Generation;Keine Angabe;Oper;Öffentliche Infrastruktur
Bertolt-Brecht-Gymnasium Dresden;SN-4340170;Gymnasium;;;;;;Semperoper;Jahrgangsstufe 11;Oper;Öffentliche Infrastruktur
Bertolt-Brecht-Gymnasium Dresden;SN-4340170;Gymnasium;;;;;;Staatsoperette;"Projekt \Rock You\" Klassenstufe 9""rojekt \"Rock You\" Klass""ojekt \"Rock You""jekt \"R""e"""rojekt \Rock You\" Klassenstufe 9""rojekt \"Rock You\" Klass""ojekt \"Rock""ojekt \Rock You\" Klassenstufe 9""rojekt \"Rock You\" Kl""jekt \Rock You\" Klassenstufe 9""rojekt""ekt \Rock You\" Klassen""kt \Rock";Oper;Öffentliche Infrastruktur
Bertolt-Brecht-Gymnasium Dresden;SN-4340170;Gymnasium;;;;;;Theaterpädagogisches Zentrum;Theaterprojekt Sekundarstufe I;Oper;Öffentliche Infrastruktur
Bildungszentrum Adam Ries, Oberschule;SN-4231098;Mittelschule;;;;;;Stadttheater Annaberg;Keine Angabe;Oper;Öffentliche Infrastruktur
Brüder-Grimm-Schule - Grundschule der Stadt Leipzig;SN-4412102;Grundschule;;;;;;Theater der \ Jungen Welt\ Leipzig;Keine Angabe;Oper;Öffentliche Infrastruktur
Friedrich-Fröbel-Schule, Schule zur Lernförderung;SN-4120325;Schule zur Lernförderung;;;;;;keine Kooperationsbeziehung zu Hochschulen;Keine Angabe;Oper;Öffentliche Infrastruktur
Gottlieb-Daimler-Oberschule Bautzen;SN-4130514;Mittelschule;;;;;;Deutsch-Sorbisches Volkstheater Bautzen;Keine Angabe;oper;Öffentliche Infrastruktur
"Grundschule Gottfried Silbermann """rundschule "Gottfried ""undschule """rundschule Gottfried Silbermann """ru""unds";SN-4210159;Grundschule;;;;;;Mittelsächsisches Theater Freiberg;Nutzung des Kinder- und Jugendtheateranrechtes für die Klassen 1 , 2 , 3 , 4;Oper;Öffentliche Infrastruktur
Grundschule Callenberg;SN-4511986;Grundschule;;;;;;Die Theater Chemnitz;Auftritt zu den Chemnitzer SchultheatertagenOpernprojekteVertrag über ein Kinder- und Jugendabonnement;Oper;Öffentliche Infrastruktur
Grundschule Hohendubrau;SN-4112090;Grundschule;;;;;;Unsere Schule unterhält keine Kooperationsbeziehungen zu Hochschulen der Region.;Keine Angabe;Oper;Öffentliche Infrastruktur
Grundschule Hohendubrau;SN-4112090;Grundschule;;;;;;Unsere Schule unterhält keine Kooperationsbeziehungen zu Hochschulen der Region;Keine Angabe;Oper;Öffentliche Infrastruktur
Grundschule Oberlößnitz;SN-4311213;Grundschule;;;;;;Landesbühne Sachsen;"- Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \backstage\" - Erarbeitung einer Theaterproduktion auf der Grundlage des biografischen Theaters , Coaching mit Tehaterpadagogen , Bühnenebildnern , Regissseuren"" Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \"backstage\" - Erarbeitung einer Theaterproduktion auf der Grundla""Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- un""" Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \backstage\" - Erarbeitung einer Theaterproduktion auf der Grundlage des biografischen Theaters , Coaching mit Tehaterpadagogen , Bühnenebildnern , Regissseuren"" Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \"backstage\" - Erarbeitung ein""Klasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \backstage\" - Erarbeitung einer Theaterproduktion auf der Grundlage des biografischen Theaters , Coaching mit Tehaterpadagogen , Bühnenebildnern , Regissseuren"" Klasse 1-3: Inszeni""lasse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nachbereitung - Führung \backstage\" - Erarbeitung einer Theaterproduktion auf der Grundlage des biograf""asse 1-3: Inszenierungsbesuche mit theaterpädagogischer Vor- und Nac";Oper;Öffentliche Infrastruktur
Grundschule Schönteichen;SN-4110847;Grundschule;;;;;;Wir haben keine Kooperationen mit Hochschulen#;Keine Angabe;Oper;Öffentliche Infrastruktur
"Gymnasium Dreikönigschule " Dresden""ymnasium "Dreikönigschule""mnasium "Dreikö""nasium"""ymnasium Dreikönigschule " Dresden""ymnasium "Dreikönigschule""mnasium Dreikönigschule " Dresden""""nasium Dre";SN-4340188;Gymnasium;;;;;;projekttheater;Raumnutzung für Theateraufführungen und ProbenTechnische Unterstützung externen Aufführungen;Oper;Öffentliche Infrastruktur
"Gymnasium Luisenstift " Radebeul""ymnasium "Luisenstift ""mnasium "Lui""nas"""ymnasium Luisenstift " Radebeul""ymnasium "Luisenstif""mnasium Luisenstift " Radebeul"""nasium Lui";SN-4340360;Gymnasium;;;;;;Landesbühnen Sachsen;Keine Angabe;Oper;Öffentliche Infrastruktur
Gymnasium Coswig;SN-4340030;Gymnasium;;;;;;Landesbühnen Sachsen;Planung und Durchführung von Theaterveranstaltungen im Bereich des Unterrichts , insbesondere im künstlerischen Profil;Oper;Öffentliche Infrastruktur
Heinrich-Heine-Oberschule;SN-4231692;Mittelschule;;;;;;Kooperationsnetzwerk Berufsorientierung;Unterstützung bei der Durchführung von Veranstaltungen zur Berufsorientierung , Erweiterung unseres Bo- Konzeptes;Oper;Öffentliche Infrastruktur
Heinrich-Pestalozzi-Schule - Oberschule der Stadt Leipzig;SN-4430047;Mittelschule;;;;;;Oper Leipzig;Blick hinter die Kulissen - Kunstunterricht in den Klassenstufen 9/10 , um eigene Bühnenbilder erstellen zu können;Oper;Öffentliche Infrastruktur
Johann-Wolfgang-von-Goethe-Gymnasium Chemnitz;SN-4240073;Gymnasium;;;;;;Städtische Theater Chemnitz;Theaterbesuchegemeinsame Projekte;Oper;Öffentliche Infrastruktur
Julius-Mosen-Gymnasium;SN-4540100;Gymnasium;;;;;;Theater Plauen-Zwickau/Bad Elster;Keine Angabe;Oper;Öffentliche Infrastruktur
Lessing-Gymnasium Hoyerswerda;SN-4140141;Gymnasium;;;;;;Neue Bühne Senftenberg;Keine Angabe;Oper;Öffentliche Infrastruktur
Martin-Luther-Gymnasium Frankenberg;SN-4240198;Gymnasium;;;;;;Theater Chemnitz;Keine Angabe;Oper;Öffentliche Infrastruktur
Melanchthonschule Oberschule 3;SN-4130134;Mittelschule;;;;;;Kooperationspartner Siemens Goerlitz;Betriebspraktika;Oper;Öffentliche Infrastruktur
Nachbarschaftsschule - Grund- und Oberschule der Stadt Leipzig;SN-4412052;Grundschule;Mittelschule;Schulversuch Gemeinschaftsschule;;;;Das Theater der jungen Welt;Keine Angabe;Oper;Öffentliche Infrastruktur
Nachbarschaftsschule - Grund- und Oberschule der Stadt Leipzig;SN-4412052;Grundschule;Mittelschule;Schulversuch Gemeinschaftsschule;;;;Das Theater der jungen Welt;Keine Angabe;Oper;Öffentliche Infrastruktur
Nikolaischule Görlitz;SN-4110185;Grundschule;;;;;;Unsere Schule unterhält keine Kooperationsbeziehungen zu Partnern in der Wirtschaft#;Keine Angabe;Oper;Öffentliche Infrastruktur
"Oberschule Anne Frank " Stauchitz""berschule "Anne Frank ""erschule "A""r"""berschule Anne Frank " Stauchitz""berschule "Anne F""erschule Anne Frank " Stauchi""rschule ";SN-4331419;Mittelschule;;;;;;Kooperationsvereinbarungen mit 10 Betriebe der Region;BerufsorientierungPraktikumsbetreuung;Oper;Öffentliche Infrastruktur
"Oberschule Anne Frank " Stauchitz""berschule "Anne Frank ""erschule "A""r"""berschule Anne Frank " Stauchitz""berschule "Anne F""erschule Anne Frank " Stauchi""rschule ";SN-4331419;Mittelschule;;;;;;Kooperationsvereinbarungen mit 10 Betriebe der Region;Keine Angabe;Oper;Öffentliche Infrastruktur
Oberschule Auerbach;SN-4230892;Mittelschule;;;;;;z.Z. keine Kooperation;Keine Angabe;Oper;Öffentliche Infrastruktur
Oberschule Auerbach;SN-4230892;Mittelschule;;;;;;z.Z.keine Kooperation;Keine Angabe;Oper;Öffentliche Infrastruktur
Oberschule Halsbrücke;SN-4230116;Mittelschule;;;;;;Mittelsächsisches Theater Freiberg;Keine Angabe;Oper;Öffentliche Infrastruktur
Oberschule Neumark;SN-4530127;Mittelschule;;;;;;Theater Zwickau/Plauen;Keine Angabe;Oper;Öffentliche Infrastruktur
Oberschule Oelsnitz;SN-4530945;Mittelschule;;;;;;Theater Plauen;Keine Angabe;Oper;Öffentliche Infrastruktur
Palucca Hochschule für Tanz Dresden, Oberschule;SN-4330056;Mittelschule;;;;;;Theater der jungen Generation Dresden;Gemeinsames Tanztheaterprojekt;Oper;Öffentliche Infrastruktur
Schule am Auwald - Grundschule der Stadt Leipzig;SN-4412359;Grundschule;;;;;;Theater der Jungen Welt;- GTA , Theaterstarter;Oper;Öffentliche Infrastruktur
Scultetus-Oberschule;SN-4130142;Mittelschule;;;;;;Kooperationen;Keine Angabe;Oper;Öffentliche Infrastruktur
Max-Militzer-Grundschule Bautzen;SN-4110763;Grundschule;;;;;;Theater Bautzen;Keine Angabe;Oper;Öffentliche Infrastruktur
"Grundschule Wilhelm Ostwald " Grimma""rundschule "Wilhelm Ostw""undschule "W""n"""rundschule Wilhelm Ostwald " Grimma""rundschule "Wi""undschule Wilhelm Ostwa";SN-4411369;Grundschule;;;;;;Jugendblasorchester Grimma;Keine Angabe;Orchester;Öffentliche Infrastruktur
Grundschule Bernsdorf (Erzgebirge);SN-4511770;Grundschule;;;;;;JBO Bernsdorf;musische Erziehung und Instrumentalunterricht Unterstützung des Chors bei Auftritten;Orchester;Öffentliche Infrastruktur
Grundschule Neukieritzsch;SN-4410528;Grundschule;;;;;;Orchester;Keine Angabe;Orchester;Öffentliche Infrastruktur
Grundschule Papstdorf;SN-4311577;Grundschule;;;;;;Männerchor;Chorkonzert Dezember;Orchester;Öffentliche Infrastruktur
Karl-May-Grundschule;SN-4511796;Grundschule;;;;;;Jugendblasorchester;Keine Angabe;Orchester;Öffentliche Infrastruktur
Käthe-Kollwitz-Gymnasium;SN-4540217;Gymnasium;;;;;;Jugendblasorchester Zwickau;Keine Angabe;Orchester;Öffentliche Infrastruktur
Oberschule Grimma;SN-4430724;Mittelschule;;;;;;Jugendblasorchester Grimma;Keine Angabe;Orchester;Öffentliche Infrastruktur
Philipp-Melanchthon-Gymnasium Bautzen;SN-4140026;Gymnasium;Abendgymnasium;;;;;Jugendblasorchester Bautzen;Ausbildung von künftigen Musikern des Jugendblasorchesters;Orchester;Öffentliche Infrastruktur
Philipp-Melanchthon-Gymnasium Bautzen;SN-4140026;Gymnasium;Abendgymnasium;;;;;Jugendblasorchester Bautzen;Ausbildung von künftigen Musikern des Jugendblasorchesters;Orchester;Öffentliche Infrastruktur
Sachsenring-Oberschule Callenberg/Hohenstein-Ernstthal;SN-4531117;Mittelschule;;;;;;Blasorchester Hohenstein/E.;Keine Angabe;Orchester;Öffentliche Infrastruktur
Konrad-Hahnewald-Grundschule Hohnstein;SN-4311478;Grundschule;;;;;;Palucca Schule Dresden;Keine Angabe;Partnerschule;Partnerschule
"Schule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im Park " Freital, ""ule im Par"""chule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im Park " Freital""hule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im ""ule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für ""le im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital,""e im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park"" im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chu""im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behind""m Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geisti"" Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für""Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schu""ark " Freital, Schule für geistig Behinderte""Schule im Park " Freital,""rk " Freital, Schule für geistig Behinderte""Schule im Park " Frei""k " Freital, Schule für geistig Behinderte""Schule im Park " F"" " Freital, Schule für geistig Behinderte""Schule im Park """" Freital, Schule für geistig Behinderte""Schule im Park "" Freital, Schule für geistig Behinderte""Schule im Park ""Freital, Schule ";SN-4320248;Schule für geistig Behinderte;;;;;;Grund- und Oberschule;"gemeinsamer Unterricht (einzelne Stunden) und Sportfest \Miteinander\"""emeinsamer Un"""emeinsamer Unter";Partnerschule;Partnerschule
120. Schule - Grundschule der Stadt Leipzig;SN-4411963;Grundschule;;;;;;Johannes- Kepler- Gymnasium der Stadt Leipzig;optimale Bildungsberatung unter dem Aspekt der langfristigen und umfassenden Vorbereitung und Umsetzung des Übergangs von der Grundschule an das GymnasiumZusammenarbeit im Hinblick auf Elternberatung , Informationsaustausch und Verständigung über Lehrplaninhalte;Partnerschule;Partnerschule
120. Schule - Grundschule der Stadt Leipzig;SN-4411963;Grundschule;;;;;;56. Schule- Oberschule der Stadt Leipzig;optimale Bildungsberatung unter dem Aspekt der langfristigen und umfassenden Vorbereitung und Umsetzung des Übergangs von der Grundschule in die MittelschuleZusammenarbeit im Hinblick auf Elternberatung , Informationsaustausch und Verständigung über Lehrplaninhaltegegenseitige Hospitationen;Partnerschule;Partnerschule
16. Schule - Oberschule der Stadt Leipzig;SN-4431201;Mittelschule;;;;;;Euro-Schulen Leipzig;Keine Angabe;Partnerschule;Partnerschule
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;Grundschulen der Stadt Kamenz;Integrations- und Förderkonzept;Partnerschule;Partnerschule
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;BSZ Kamenz;Zusammenarbeit gemäß Berufsorientierungskonzept;Partnerschule;Partnerschule
3. Grundschule Riesa;SN-4312138;Grundschule;;;;;;Förderschule \Lichtblick\;gemeinsame SchulanfangsfeierFahrradausbildungNutzung der SchwimmhalleBesuch von einzelnen Projekten;Partnerschule;Partnerschule
3. Schule - Grundschule der Stadt Leipzig;SN-4411864;Grundschule;;;;;;Immanuel-Kant-Gymnasium;Keine Angabe;Partnerschule;Partnerschule
3. Schule - Grundschule der Stadt Leipzig;SN-4411864;Grundschule;;;;;;Apollonia-von-Wiedebach-Schule;"Schüler der Oberschule lesen unseren Schülern am bundesweiten Vorlesetag vor. Die Grundschüler \schnuppern\" im Dezember in der Oberschule""chüler der Oberschule lesen unseren Schüle"""chüler der Oberschule lesen unseren Schülern am bundesweiten Vorlesetag vor";Partnerschule;Partnerschule
39. Grundschule Dresden;SN-4310694;Grundschule;;;;;;Gymnasium Dresden-Plauen;BegabtenförderungBerufsfindungsprojekte;Partnerschule;Partnerschule
39. Schule - Grundschule der Stadt Leipzig;SN-4412029;Grundschule;;;;;;68.Schule-Oberschule der Stadt Leipzig;"Gemeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwischen den Klassenleitern (Kl.4/5) -Zusammenarbeit der Fachkonferenzen""emeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwisch""meinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnup""einsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebo""insame Vorhaben und Maßnahmen"""emeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwischen den Klassenleitern (Kl.4/5) -Zusammenarbeit der Fachkonferenzen""emeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwisch""meinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnup"""meinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwischen den Klassenleitern (Kl.4/5) -Zusammenarbeit der Fachkonferenzen""emeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwisch""meinsame Vorhaben und Maßnahmen: -""einsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwischen den Klassenleitern (Kl.4/5) -Zusammenarbeit der Fachkonferenzen""emeinsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\"Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Obersch""insame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.Klassen der Grundschule -Absprachen zwischen den Klassenleitern (Kl.4/5) -Zusammenarbeit der Fachkonferenzen""emeinsame Vor""nsame Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum Thema:\Vorstellen des Bildungsangebotes an weiterführenden Schulen\" -Oberschule ermöglicht \"Schnupperstunden\" für die 4.K""same Vorhaben und Maßnahmen: -Elternabend , Kl.3 zum The";Partnerschule;Partnerschule
"59. Grundschule Dresden Jürgen Reichen """9. Grundschule D"""9. Grundschule Dres";SN-4310462;Grundschule;;;;;;Jugendkunstschule Schloss Albrechtsberg;Keine Angabe;Partnerschule;Partnerschule
74. Schule - Grundschule der Stadt Leipzig;SN-4412011;Grundschule;;;;;;16. Oberschule;Übergang an weiterführende Schulen;Partnerschule;Partnerschule
74. Schule - Grundschule der Stadt Leipzig;SN-4412011;Grundschule;;;;;;Humboldgymnasium;#NAME?;Partnerschule;Partnerschule
75. Grundschule Dresden;SN-4310835;Grundschule;;;;;;Waldschulheim Wahlsmühle;Keine Angabe;Partnerschule;Partnerschule
"77. Grundschule Dresden An den Seegärten """7. Grundschule Dre"""7. Grundschule Dresde";SN-4310066;Grundschule;;;;;;76. Mittelschule Dresden;Optimierung des Schulübergangs in Klasse 5;Partnerschule;Partnerschule
8. Schule - Grundschule der Stadt Leipzig;SN-4412516;Grundschule;;;;;;Ernst-Zinna Schule Schule zur Lernförderung;Gestaltung des gemeinsamen Schulraumes Schule und der Umgang miteinander;Partnerschule;Partnerschule
85. Grundschule Dresden;SN-4310629;Grundschule;;;;;;82. Oberschule Dresden;Übergang von der Grundschule zur OberschuleGemeinsame Sportveranstaltung;Partnerschule;Partnerschule
"91. Grundschule Dresden Am Sand """1. Grunds"""1. Grundschu";SN-4310082;Grundschule;;;;;;65. Grundschule Dresden \Am Waldpark\;Bildungsberatung , Verzahnung Kindergarten und Grundschule;Partnerschule;Partnerschule
"91. Grundschule Dresden Am Sand """1. Grunds"""1. Grundschu";SN-4310082;Grundschule;;;;;;92. Grundschule Dresden \An der Aue\;Bildungsberatung , Verzahnung Kindergarten und Grundschule;Partnerschule;Partnerschule
Adolph-Diesterweg-Schule - Schule zur Lernförderung der Stadt Leipzig;SN-4420469;Schule zur Lernförderung;;;;;;16.Oberschule leipzig;Keine Angabe;Partnerschule;Partnerschule
Adolph-Diesterweg-Schule - Schule zur Lernförderung der Stadt Leipzig;SN-4420469;Schule zur Lernförderung;;;;;;Grundschule \Hans Christian Andersen\;Keine Angabe;Partnerschule;Partnerschule
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Pestalozzigrundschule Kottmar OT Eibau;Keine Angabe;Partnerschule;Partnerschule
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Jahngrundschule Ebersbach-Neugersdorf;Keine Angabe;Partnerschule;Partnerschule
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Fichtegrundschule Neugersdorf;Keine Angabe;Partnerschule;Partnerschule
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Grundschule Kottmar OT Niedercunnersdorf;Keine Angabe;Partnerschule;Partnerschule
Anna-Magdalena-Bach-Schule - Grundschule der Stadt Leipzig;SN-4412284;Grundschule;;;;;;Landessportgymnasium Leipzig;Gestaltung des Übergangs zum Gymnasium (Sportklassen);Partnerschule;Partnerschule
Anna-Magdalena-Bach-Schule - Grundschule der Stadt Leipzig;SN-4412284;Grundschule;;;;;;Sportoberschule;Gestaltung des Übergangs zur Oberschule;Partnerschule;Partnerschule
Anna-Magdalena-Bach-Schule - Grundschule der Stadt Leipzig;SN-4412284;Grundschule;;;;;;Thomasschule zu Leipzig - Gymnasium der Stadt Leipzig;Interessen der Thomaneranwärterklassen bündelnGestaltung des Übergangs an das GymnasiumAustausch über UnterrichtsgestaltungGemeinsame Schwerpunktsetzung sowie Zielvereinbarungen für die musikalische Förderung mit dem Thomanerchor , dem Thomanerbund und dem Förderkreis des Thomanerchores;Partnerschule;Partnerschule
Anton-Philipp-Reclam-Schule - Gymnasium des Deutsch-Französischen Bildungszentrums der Stadt Leipzig;SN-4440400;Gymnasium;;;;;;Immanuel-Kant-Schule/Gymnasium der Stadt Leipzig;BegabtenförderungSek. II;Partnerschule;Partnerschule
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;SOU Tradicnich Remesel Brno;Schüleraustausch;Partnerschule;Partnerschule
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;SOU Stavebne Levice;Schüleraustausch;Partnerschule;Partnerschule
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Birmingham Metropolitan College;Schüleraustausch;Partnerschule;Partnerschule
