Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Schule zur Lernförderung Borna;SN-4420048;Schule zur Lernförderung;;;;;;Jugendamt Borna, Landkreis Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
Sportoberschule der Stadt Leipzig;SN-4431243;Mittelschule;;;;;;Verein für interkulturelle Arbeit,Jugendhilfe und Schule e.V.;Keine Angabe;Amt;Öffentliche Infrastruktur
Wilhelm-Adolph-von-Trützschler- Oberschule Stadt Falkenstein;SN-4530051;Mittelschule;;;;;;#Frau Thoß vom Landratsamt,Frau Sypeer v JA#;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Am Holländer " Döbeln""rundschule "Am Hollän""undschule"""rundschule Am Holländer " Döbeln""rundschu""undschule Am Holl";SN-4212999;Grundschule;;;;;;Döbelner Sportverein,Bibliothek;;Bibliothek;Öffentliche Infrastruktur
"Grundschule Gebrüder Grimm """rundschule "Gebr""unds"""rundschule Gebrüder Grimm";SN-4510053;Grundschule;;;;;;Bibliothek Auerbach,Gemeinnütziges Schulungszentrum Witt Auerbach;;Bibliothek;Öffentliche Infrastruktur
80. Grundschule Dresden;SN-4310553;Grundschule;;;;;;Beratungsstelle für Kinder, Jugend und Familiee;Keine Angabe;Verein;Gemeinnütziger Akteur
Frédéric-Joliot-Curie-Grundschule Bautzen;SN-4110748;Grundschule;;;;;;Stadtteilmanagement,;Keine Angabe;Familien-/Bildungs-/Kulturzentrum;Öffentliche Infrastruktur
Friedrich-Ludwig-Jahn-Schule, Schule für geistig Behinderte;SN-4120093;Schule für geistig Behinderte;;;;;;Janusz Korczak, Kinderheim;Keine Angabe;Familien-/Bildungs-/Kulturzentrum;Religiöse Einrichtung
Oberschule Brandis;SN-4430617;Mittelschule;;;;;;Kinderheim Schwalbennest, Waldsteinberg - Deutsches Rotes Kreuz;Keine Angabe;Familien-/Bildungs-/Kulturzentrum;Gemeinnütziger Akteur
Oberschule Halsbrücke;SN-4230116;Mittelschule;;;;;;Betreutes Wohnen Halsbach, Mädchenwohngemeinschaft Mönchstraße;Keine Angabe;Familien-/Bildungs-/Kulturzentrum;Unbestimmt
Schule am Floßplatz - Grundschule der Stadt Leipzig;SN-4412177;Grundschule;;;;;;Kinderhaus am Park, F.-Rhode-Str. 17;Keine Angabe;Familien-/Bildungs-/Kulturzentrum;Öffentliche Infrastruktur
Grundschule Mühlbach;SN-4311551;Grundschule;;;;;;SV Sachsen Müglitztal,Freiwillige Feuerwehr Mühlbach;;Feuerwehr;Öffentliche Infrastruktur
138. Oberschule Dresden;SN-4330411;Mittelschule;;;;;;Gericht, Staatsanwaltschaft Dresden;Keine Angabe;Gericht;Öffentliche Infrastruktur
Grundschule Mitte Coswig;SN-4311783;Grundschule;;;;;;Hort der Grundschule Mitte, JuCo Soziale Arbeit gGmbH;Schuleingangsphaseschulvorbereitende Projekte;gGmbH;Gemeinnütziger Akteur
Grundschule Baruth;SN-4110730;Grundschule;;;;;;Heimatverein Baruth,BSV90 e.V.;;Heimatverein;Gemeinnütziger Akteur
"Schule zur Lernförderung Nikolaus Kopernikus """chule zur Lernförderu"""chule zur Lernförderung ";SN-4120168;Schule zur Lernförderung;;;;;;ASD Hoyerswerda,;Keine Angabe;Jugendamt;Öffentliche Infrastruktur
