Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
BEST-Sabel Gemeinützige Bildungsgesellschaft;BE-16724;Berufsfachschule;Teilnahme am Leonardo da Vinci-Programm der Europäischen Union (finanziert praxisorientierte Projekte im Bereich der beruflichen Bildung);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Wintergarten Varieté;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);BE-16556;Berufsoberschule;Bildung für Berlin und Brandenburg e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);BE-16556;Berufsoberschule;BioKräuterei Oberhavel;Wirtschaftsakteur;Wirtschaftsakteur;
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);BE-16556;Berufsoberschule;Deutsche Landwirtschafts-Gesellschaft (DLG) e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);BE-16556;Berufsoberschule;diverse Krankenhäuser und Sozialstationen;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Gesundheitswesen/Altersvorsorge);
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);BE-16556;Berufsoberschule;Versuchs- und Lehranstalt für Brauerei (VLB) in Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Allgemeine Hotel- und Gastronomie-Zeitung;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;Arbeit und Bildung e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hermann-Scheer-Schule (OSZ Wirtschaft);BE-16249;Berufsschule;Auslandsfahrten nach London zu Randstad (Personaldienstleistungsunternehmen) und Lloyd`s (Versicherer);Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH;Wirtschaftsakteur;Wirtschaftsakteur (Bildung);
Carl-Legien-Schule;BE-15760;Berufsschule;Berufsförderungswerk derFachgemeinschaft Bau Berlin und BrandenburgGemeinnützige GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Werner-von-Siemens-Werkberufsschule der Siemens AG;BE-16779;Berufsschule;ca. 50 externe Firmen der Metall- und Elektroindustrie in Berlin;Wirtschaftsakteur;Wirtschaftsakteur;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;DEHOGA Hotel- und Gaststättenverband Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH;BE-15731;Berufsschule;DRV Deutscher Reiseverband e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH;BE-15731;Berufsschule;Eisbären Juniors Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Evers Specials B.V. (Erzeuger von Sprossen und Keimen);Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Werner-von-Siemens-Werkberufsschule der Siemens AG;BE-16779;Berufsschule;Industrie- und Handelskammer (IHK) zu Berlin;Verband / Kammer / Innung / Gewerkschaft;Öffentliche Infrastruktur (Amt);
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Industrie- und Handelskammer (IHK) zu Berlin;Verband / Kammer / Innung / Gewerkschaft;Öffentliche Infrastruktur (Amt);
Carl-Legien-Schule;BE-15760;Berufsschule;Institut für Produktives Lernen in Europa (IPLE);Öffentliche Infrastruktur;Familien-/Bildungs-/Kulturzentrum;
Carl-Legien-Schule;BE-15760;Berufsschule;Integration und Demokratie e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hermann-Scheer-Schule (OSZ Wirtschaft);BE-16249;Berufsschule;KMK - Fremdsprachenzertifikat;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Hermann-Scheer-Schule (OSZ Wirtschaft);BE-16249;Berufsschule;Lernortkooperation mit der Bundesagentur für Arbeit;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Agentur für Arbeit);
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Löffelsend & Wein Compagny GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
BFT Berufsschule für Tourismus;BE-15892;Berufsschule;Luftverkehrs- und Hotelwirtschaft im In- und Ausland;Wirtschaftsakteur;Wirtschaftsakteur;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Metro Cash & Carry Deutschland GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Otto Korsukéwitz GmbH (Gastronomiebedarf und Großküchentechnik);Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;Polizeiabschnitt 55;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Sicherheit/Ordnung/Verkehr);Polizei
Carl-Legien-Schule;BE-15760;Berufsschule;RAA Regionale Arbeitsstellen für Bildung;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Amt);
Carl-Legien-Schule;BE-15760;Berufsschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Werner-von-Siemens-Werkberufsschule der Siemens AG;BE-16779;Berufsschule;Siemens AG (Träger) mit seinen operativen Einheiten;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;Stadtimpuls - Gesellschaft zur Förderung und Ansiedlung sozialer Projekte mbH;Wirtschaftsakteur;Wirtschaftsakteur;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Steigenberger Hotel Berlin;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;Teach First Deutschland gemeinnützige GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
BFT Berufsschule für Tourismus;BE-15892;Berufsschule;Teilnahme am Programm Leonardo da Vinci (finanziert praxisorientierte Projekte im Bereich der beruflichen Bildung);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH;BE-15731;Berufsschule;Trägerverein des Olympiastützpunktes Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hermann-Scheer-Schule (OSZ Wirtschaft);BE-16249;Berufsschule;Unternehmensplanspielwettbewerbe;Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;VEGA Vertrieb von Gastronomiebedarf GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
BFT Berufsschule für Tourismus;BE-15892;Berufsschule;verschiedene Unternehmen der Tourismus-;Wirtschaftsakteur;Wirtschaftsakteur;
Brillat-Savarin-Schule (OSZ Gastgewerbe);BE-15940;Berufsschule;Weihe-Früchte & Salate KG;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Legien-Schule;BE-15760;Berufsschule;YO!22 Jugendzentrum Oderstraße 22;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;abenteuerorientierte Jugendfreizeit und internationale Jugendbegegnungen);Gemeinnütziger Akteur;Modell/Förderprogramm/Projekt;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;ALBBW Annedore-Leber-Berufsbildungswerkes;Öffentliche Infrastruktur;Familien-/Bildungs-/Kulturzentrum;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;BBW-Akademie;Wirtschaftsakteur;Wirtschaftsakteur (Bildung);
Loschmidt-Oberschule;BE-16688;Berufsschule mit sonderpäd. Aufgaben;Berliner Stadtreinigungsbetriebe (BSR);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Sicherheit/Ordnung/Verkehr);
Loschmidt-Oberschule;BE-16688;Berufsschule mit sonderpäd. Aufgaben;BWK Bildungswerk in Kreuzberg GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Christliches Jugenddorfwerk e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Dienstleistung und Bildung;Unbestimmt;Unklar;
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;Förderverein Halle MV e.V. (außerschulische Jugendbildung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Fortbildungsakademie der Wirtschaft;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;FSE Lankwitzer Werkstätten gemeinnützige GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Loschmidt-Oberschule;BE-16688;Berufsschule mit sonderpäd. Aufgaben;Gegenbauer Property Services GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Loschmidt-Oberschule;BE-16688;Berufsschule mit sonderpäd. Aufgaben;Gesellschaft für berufsbildende Maßnahmen (GFBM) e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
