Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
Sabine-Ball-Grundschule;BE-16123;Grundschule;Schitmherrin: Nina Hagen;Unbestimmt;Unklar;
Peter-Pan-Grundschule;BE-16138;Grundschule;Schul- und SportJugendClub Marzahn;Gemeinnütziger Akteur;Sportverein/Programm/Initaitve;
Kreativitätsschulzentrum Berlin gGmbH;BE-15597;Grundschule;"Schul-Förderverein 4CreativeKids e.V.""chul-"""chul-Fö";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Dreilinden-Grundschule;BE-15595;Grundschule;Schul-Partnerschaft mit der Japanischen Internationalen Schule zu Berlin;Partnerschule;Partnerschule;
Judith-Kerr-Grundschule;BE-15798;Grundschule;Schule für Pädagogik in Nancy (Frankreich);Partnerschule;Partnerschule;
Elizabeth-Shaw-Grundschule;BE-16358;Grundschule;Schulentwicklungsmaßnahme Musikalische Grundschule;Öffentliche Infrastruktur;Musikschule/musikalische Einrichtung;
Grundschule am Barbarossaplatz;BE-15648;Grundschule;"Schüler-Experimentierlabor NatLab der Freien Universität Berlin""chüler-Experimentierlabor NatL"""chüler-Experimentierlabor NatLab";Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Schülerladen Krümelmonster in der Möckernstraße;Partnerschule;Partnerschule;
Ernst-Habermann-Grundschule;BE-16783;Grundschule;"Schülerladen Land in Sicht e.V. in der Babelsberger Straße 43""chülerladen Land in Sicht" e.V. in ""hülerlade"""chülerladen Land in Sicht e.V. in der Babelsberg";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Evangelische Grundschule Friedrichshagen;BE-16702;Grundschule;Schulstiftung der Evangelischen Kirche Berlin-Brandenburg-schlesische Oberlausitz (EKBO);Religiöse Einrichtung;Kirchliche Einrichtung;
Münchhausen-Grundschule;BE-16416;Grundschule;Schwimm- und Sportclub (SCC) Berlin-Reinickendorf e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Oskar-Heinroth-Schule (Grundschule);BE-16234;Grundschule;Schwimm-Gemeinschaft (SG) Neukölln e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Schliemann-Schule (Grundschule);BE-16738;Grundschule;Schwimm-Gemeinschaft (SG) Neukölln e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Georg-Zacharias-Grundschule;BE-16576;Grundschule;Schwimmclub Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Bruno-H.-Bürgel-Grundschule;BE-15840;Grundschule;"Schwimmverein Friesen 1895 e.V."""chwimmverei"""chwimmverein F";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Charlie-Chaplin-Grundschule;BE-16503;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Clara-Grunwald-Grundschule;BE-16716;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Fanny-Hensel-Grundschule;BE-16074;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule an der Wuhle;BE-16613;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Johann-Peter-Hebel-Grundschule;BE-16782;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Lenau-Grundschule;BE-16183;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Lietzensee-Grundschule;BE-15924;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ludwig-Bechstein-Grundschule;BE-15875;Grundschule;Seniorpartner in School (SiS) e.V. Berlin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zille-Grundschule;BE-16193;Grundschule;SG NARVA Berlin e.V. (Handball) und weitere;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Kollwitzplatz;BE-16103;Grundschule;SG Rotation Prenzlauer Berg e.V;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Planetarium;BE-15934;Grundschule;SG Rotation Prenzlauer Berg e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Bolle-Grundschule;BE-16038;Grundschule;Siemens AG;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Humann-Grundschule;BE-15936;Grundschule;Siemens AG;Wirtschaftsakteur;Wirtschaftsakteur;
Fanny-Hensel-Grundschule;BE-16074;Grundschule;Siemens AG;Wirtschaftsakteur;Wirtschaftsakteur;
Grundschule am Eichenwald;BE-16261;Grundschule;Siemens AG;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Siemens AG (Physikpaten);Wirtschaftsakteur;Wirtschaftsakteur;
Grundschule am Barbarossaplatz;BE-15648;Grundschule;Siemens Stiftung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Karl-Weise-Schule (Grundschule);BE-16229;Grundschule;SJB Senioren-;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Bolle-Grundschule;BE-16038;Grundschule;SOS Kinderdorf e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Otto-Wels-Grundschule;BE-15709;Grundschule;Soziale Stadt/Quartiersmanagement Wassertorplatz;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Sicherheit/Ordnung/Verkehr);Quartiersmanagement
Feldmark-Schule (Grundschule);BE-16661;Grundschule;Sozialpädagogische Arbeit im Kiez SPIK e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ellef-Ringnes-Grundschule;BE-16423;Grundschule;SOZIALWERK Pro Gemeinsinn e.V. (Kooperationspartner für die ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Münchhausen-Grundschule;BE-16416;Grundschule;SOZIALWERK Pro Gemeinsinn e.V. (Kooperationspartner für die ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
KreativitätsGrundschule Berlin Treptow;BE-16797;Grundschule;Soziokulturelles Zentrum in Berlin-Treptow;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Astrid-Lindgren-Grundschule;BE-16118;Grundschule;Spandauer Sportvereine;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ulmen-Grundschule;BE-16446;Grundschule;Spielfeld e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Sachsenwald-Grundschule;BE-15665;Grundschule;Spielgemeinschaft OSC Schöneberg-Friedenau (Handball);Wirtschaftsakteur;Sportverein/Programm/Initaitve;
Bücherwurm-Schule am Weiher (Grundschule);BE-16628;Grundschule;Spielgemeinschaft Stern Kaulsdorf e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule an der Pulvermühle;BE-16246;Grundschule;Spielhaus im Goldbeckweg 6;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);
Zille-Grundschule;BE-16193;Grundschule;Spielwagen e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hunsrück-Grundschule;BE-15917;Grundschule;Sport Club Welle Berlin e.V. (Schwimmen);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Georg-Zacharias-Grundschule;BE-16576;Grundschule;Sport- und Spielverein Rotation Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Kastanienbaum-Grundschule;BE-15955;Grundschule;Sport- und Spielverein Rotation Berlin e.V. (Badminton);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Bolle-Grundschule;BE-16038;Grundschule;Sport-Club Charlottenburg (SCC) Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Eichendorff-Grundschule;BE-16709;Grundschule;Sport-Club Charlottenburg (SCC) Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Erwin-von-Witzleben-Grundschule;BE-16163;Grundschule;Sport-Club Charlottenburg (SCC) Berlin e.V. (Träger für die ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Paavo-Nurmi-Grundschule;BE-16384;Grundschule;Sportclub Berlin e.V. im Weißenseer Weg;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Feldmark-Schule (Grundschule);BE-16661;Grundschule;Sportclub Berlin e.V. im Weißenseer Weg (Schwimmen);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Heinrich-Roller-Grundschule;BE-15907;Grundschule;Sportclub Charis 02 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Hohen Feld;BE-16011;Grundschule;Sportclub Charis 02 e.V. (Judo);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hunsrück-Grundschule;BE-15917;Grundschule;Sportclub Charis 02 e.V. (Judo);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Konkordia-Grundschule;BE-16553;Grundschule;Sportfreunde Kladow e.V. (Judo);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Paul-Moor-Schule;BE-16364;Grundschule;Sportfreunde Kladow e.V. (Judo);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zille-Grundschule;BE-16193;Grundschule;SportJugendBerlin vom Landessportbund Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Robinson-Schule (Grundschule);BE-16135;Grundschule;SportJugendClub Lichtenberg;Gemeinnütziger Akteur;Sportverein/Programm/Initaitve;
Carl-Humann-Grundschule;BE-15936;Grundschule;SportJugendClub Prenzlauer Berg;Gemeinnütziger Akteur;Sportverein/Programm/Initaitve;
Grundschule am Hohen Feld;BE-16011;Grundschule;Sporttreff Karower Dachse e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Fuchsberg;BE-16526;Grundschule;Sportverein Berlin 2000 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Jeanne-Barez-Schule (Grundschule);BE-16301;Grundschule;Sportverein Buchholz e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Brandenburger Tor;BE-15959;Grundschule;Sportverein IHW Alex 78 Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Bornholmer Grundschule;BE-16198;Grundschule;Sportverein Pfefferwerk e.V. 2008;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Platanengrundschule;BE-16360;Grundschule;Sprachcenter Mouroum;Wirtschaftsakteur;Familien-/Bildungs-/Kulturzentrum;
KreativitätsGrundschule Berlin Treptow;BE-16797;Grundschule;SSV Köpenick-Oberspree e. V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Erika-Mann-Grundschule;BE-16433;Grundschule;Staatsballett Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Oper
Robinson-Schule (Grundschule);BE-16135;Grundschule;Stadtbibliothek Berlin-Lichtenberg - Bodo-Uhse-Bibliothek;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Eichendorff-Grundschule;BE-16709;Grundschule;Stadtbibliothek Charlottenburg-Wilmersdorf;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Islamische Grundschule;BE-15880;Grundschule;Stadtbibliothek Friedrichshain-Kreuzberg Frankfurter Allee;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Müggelschlößchen-Schule (Grundschule);BE-16160;Grundschule;Stadtbibliothek Köpenick;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Regenbogen-Schule (Grundschule);BE-16737;Grundschule;Stadtbibliothek Neukölln - Helene-Nathan-Bibliothek;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Renée-Sintenis-Grundschule;BE-16210;Grundschule;Stadtbibliothek Reinickendorf;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Grundschule am Birkenhain;BE-16113;Grundschule;Stadtbibliothek Spandau Hauptjugendbibliothek Carl-Schurz-Straße 13;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Bouché-Schule (Grundschule);BE-15768;Grundschule;Stadtbibliothek Treptow-Köpenick;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Platanengrundschule;BE-16360;Grundschule;StadtGut Blankenfelde e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Uhlenhorst-Grundschule;BE-15794;Grundschule;Stadtorchester Köpenick;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Orchester
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Stadtteilbibliothek Dudenstraße / Friedrich-von-Raumer-Bibliothek;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Ruppin-Grundschule;BE-16127;Grundschule;Stadtteilbibliothek Friedenau (Gerhart-Hauptmann-Bibliothek);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Grundschule am Hohen Feld;BE-16011;Grundschule;Stadtteilbibliothek Karow;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Spreewald-Grundschule;BE-16111;Grundschule;Stadtteilbibliothek Schöneberg-Nord;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Bernd-Ryke-Grundschule;BE-16117;Grundschule;Stadtteilkonferenz Haselhorst;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Netzwerk
Hunsrück-Grundschule;BE-15917;Grundschule;Stadtteilmütter für Friedrichshain-Kreuzberg;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Stadtteilmütter;Unbestimmt;Familien-/Bildungs-/Kulturzentrum;
Ludwig-Bechstein-Grundschule;BE-15875;Grundschule;Stadtteilzentrum Steglitz e.V. (Verein für soziale Arbeit);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Dunant-Grundschule;BE-15666;Grundschule;Steglitzer Fußball-Club Stern 1900 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Sachsenwald-Grundschule;BE-15665;Grundschule;Steglitzer Sport Club (SCC) Südwest 1947 e.V. Berlin (Trampolin;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Elbe-Schule (Grundschule);BE-16635;Grundschule;Stiftung Brandenburger Tor - Förderbereich Bildung und Erziehung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Conrad-Schule (Grundschule);BE-15814;Grundschule;Stolper Musikschule GbR in der Chausseestraße;Wirtschaftsakteur;Musikschule/musikalische Einrichtung;
Elbe-Schule (Grundschule);BE-16635;Grundschule;Streit Entknoten - Büro für Mediation und Interkulturelle Kommunikation;Wirtschaftsakteur;Familien-/Bildungs-/Kulturzentrum;
Grundschule am Fließtal;BE-16424;Grundschule;Sucht- und Gewaltvorbeugung in der Grundschule;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Heinrich-Roller-Grundschule;BE-15907;Grundschule;Sucht- und Gewaltvorbeugung in der Grundschule;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Karl-Weise-Schule (Grundschule);BE-16229;Grundschule;Sucht- und Gewaltvorbeugung in der Grundschule;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Oskar-Heinroth-Schule (Grundschule);BE-16234;Grundschule;Sucht- und Gewaltvorbeugung in der Grundschule;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Paavo-Nurmi-Grundschule;BE-16384;Grundschule;"SV 1908 Grün-Weiß  Ahrensfelde e.V.""V 1908 Grün-Weiß """V 1908 Grün-Weiß  A";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Fließtal;BE-16424;Grundschule;SV Berliner Bären e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Rudolf-Dörrier-Grundschule;BE-16276;Grundschule;SV Berliner Bären e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Planetarium;BE-15934;Grundschule;SV Empor Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Uhlenhorst-Grundschule;BE-15794;Grundschule;SV Empor Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Wendenschloß-Schule (Grundschule);BE-15793;Grundschule;SV Empor Köpenick e.V. (Karate);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Georg-Zacharias-Grundschule;BE-16576;Grundschule;SV Preußen Berlin e.V. (Leichtathletik);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Feldmark-Schule (Grundschule);BE-16661;Grundschule;SV Preußen Berlin e.V. (Volleyball;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Anne-Frank-Grundschule;BE-16018;Grundschule;SV Siegfried-Nordwest Berlin 1887 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ikarus-Grundschule;BE-15830;Grundschule;SV Süden 09 e.V. (Fußball);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Adam-Ries-Schule (Grundschule);BE-16525;Grundschule;SV Tora Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ebereschen-Grundschule;BE-16396;Grundschule;SV Tora Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Planetarium;BE-15934;Grundschule;SV Tora Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Heinrich-Roller-Grundschule;BE-15907;Grundschule;SV Tora Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Humann-Grundschule;BE-15936;Grundschule;SV Tora Berlin e.V. - Sportverein für Reha;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zille-Grundschule;BE-16193;Grundschule;SV Tora Berlin e.V. - Sportverein für Reha;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Bouché-Schule (Grundschule);BE-15768;Grundschule;SV Treptow 46 e.V. (Fußball);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
KreativitätsGrundschule Berlin Lichtenberg;BE-15956;Grundschule;SysTree AG;Wirtschaftsakteur;Wirtschaftsakteur;
Ernst-Habermann-Grundschule;BE-16783;Grundschule;TÄKS e.V. (Jugendhilfe) in der Leberstraße 4;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reginhard-Grundschule;BE-16622;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reinhardswald-Grundschule;BE-16190;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zille-Grundschule;BE-16193;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Bernhard-Grzimek-Schule (Grundschule);BE-16362;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Bouché-Schule (Grundschule);BE-15768;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Erwin-von-Witzleben-Grundschule;BE-16163;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Jeanne-Barez-Schule (Grundschule);BE-16301;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Brüder-Grimm-Grundschule;BE-16028;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Charlie-Rivel-Grundschule;BE-16648;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Lemgo-Grundschule;BE-15916;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Nürtingen-Grundschule;BE-16184;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Heinrich-Zille-Grundschule;BE-16714;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH (Schulhelfer/Innen);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Dunant-Grundschule;BE-15666;Grundschule;Tandem BQG - gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH (Schulstation);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Galilei-Grundschule;BE-15715;Grundschule;TANDEM KITA-Schule;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Lenau-Grundschule;BE-16183;Grundschule;Tanz Tangente Studio für modernen Tanz GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Carl-Humann-Grundschule;BE-15936;Grundschule;Tanz und Shotokan Karate;Unbestimmt;Sportverein/Programm/Initaitve;
Zille-Grundschule;BE-16193;Grundschule;Tanz und Shotokan Karate;Unbestimmt;Sportverein/Programm/Initaitve;
Joan-Miró-Grundschule;BE-15894;Grundschule;Tanzloft Berlin;Wirtschaftsakteur;Musikschule/musikalische Einrichtung;
Kreativitätsschulzentrum Berlin gGmbH;BE-15597;Grundschule;Tanzteam Step by Step e.V;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Georg-Zacharias-Grundschule;BE-16576;Grundschule;Tanzwerkstatt NO LIMIT e. V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Eichenwald;BE-16261;Grundschule;TanzZeit - Zeit für Tanz in Schulen (Zeitgenössischer Tanz Berlin e.V.);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Paul-Moor-Schule;BE-16364;Grundschule;TanzZeit - Zeit für Tanz in Schulen (Zeitgenössischer Tanz Berlin e.V.);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Regenbogen-Schule (Grundschule);BE-16737;Grundschule;TanzZeit - Zeit für Tanz in Schulen (Zeitgenössischer Tanz Berlin e.V.);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reineke-Fuchs-Grundschule;BE-16501;Grundschule;TanzZeit - Zeit für Tanz in Schulen (Zeitgenössischer Tanz Berlin e.V.);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reinhardswald-Grundschule;BE-16190;Grundschule;TanzZeit - Zeit für Tanz in Schulen (Zeitgenössischer Tanz Berlin e.V.);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Brandenburger Tor;BE-15959;Grundschule;Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Heinrich-Seidel-Grundschule;BE-16732;Grundschule;Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Rudolf-Dörrier-Grundschule;BE-16276;Grundschule;Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Grundschule am Koppenplatz;BE-16444;Grundschule;Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH (Träger sozialpädagogischer Bereich);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Grundschule am Schäfersee;BE-16621;Grundschule;Teen Challenge Berlin e.V. - Christliche Lebens- und Suchtkrankenhilfe;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hunsrück-Grundschule;BE-15917;Grundschule;"Teilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migrationshintergrund)""eilnahme am Modellprogramm FörMig Transfer" (Förderung von Kindern ""ilnahme am Modellprogram"""eilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migratio";Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Karlsgarten-Schule (Grundschule);BE-16231;Grundschule;"Teilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migrationshintergrund)""eilnahme am Modellprogramm FörMig Transfer" (Förderung von Kindern ""ilnahme am Modellprogram"""eilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migratio";Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Otto-Wels-Grundschule;BE-15709;Grundschule;"Teilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migrationshintergrund)""eilnahme am Modellprogramm FörMig Transfer" (Förderung von Kindern ""ilnahme am Modellprogram"""eilnahme am Modellprogramm FörMig Transfer (Förderung von Kindern und Jugendlichen mit Migratio";Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Clara-Grunwald-Grundschule;BE-16716;Grundschule;Teilnahme am Projekt Theater und Schule (TUSCH);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;Theater
Lenau-Grundschule;BE-16183;Grundschule;Teilnahme am Projekt Theater und Schule (TUSCH);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;Theater
Regenbogen-Schule (Grundschule);BE-16737;Grundschule;Teilnahme am Projekt Theater und Schule (TUSCH);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;Theater
Dunant-Grundschule;BE-15666;Grundschule;Teilnahme an COMENIUS-Schulpartnerschaften (Aktion im Rahmen des Sokrates-Programms der Europäischen Union);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Robert-Reinick-Grundschule;BE-16114;Grundschule;The Fibonacci Project - Disseminating inquiry-based science and mathematics education in Europe (unterstützt durch die Europäische Union);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Peter-Pan-Grundschule;BE-16138;Grundschule;Theater am Park e.V. im Frankenholzer Weg 4;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Robinson-Schule (Grundschule);BE-16135;Grundschule;Theater an der Parkaue;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Theater EUKITEA;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
Grundschule am Kollwitzplatz;BE-16103;Grundschule;Theater und Schule (TUSCH);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
